title,abstract
A review of remote sensing for environmental monitoring in China,"The natural environment is essential for human survival and development since it provides water resources, land resources, biological resources and climate resources etc. As a developing country, China has witnessed a significant change in the natural environment in recent decades; and therefore, monitoring and mastering the status of the environment is of great significance. Due to the characteristics of large-scale and dynamic observation, remote sensing technology has been an indispensable approach for environmental monitoring. This paper reviews the satellite resources, institutions and policies for environmental monitoring in China, and the advances in research and application of remote sensing from five aspects: ecological index retrieval, environmental monitoring in protected areas, rural areas, urban areas and mining areas. The remote sensing models and methods for various types of environmental monitoring, and the specific applications in China are comprehensively summarized. This paper also points out major challenges existing at the current stage: satellite sensor problems, integrated use challenges of datasets, uncertainty in the retrieval process of ecological variables, scaling effect problems, a low degree of automation, the weak ability of forecasting and comprehensive analysis, and a lack of computational power for massive datasets. Finally, the development trend and future directions are put forward to direct the research and application of environmental monitoring and protection in the new era."
Fundamentals of satellite remote sensing: An environmental approach,"Fundamentals of Satellite Remote Sensing: An Environmental Approach, Second Edition is a definitive guide to remote sensing systems that focuses on satellite-based remote sensing tools and methods for space-based Earth observation (EO). It presents the advantages of using remote sensing data for studying and monitoring the planet, and emphasizes concepts that make the best use of satellite data. The book begins with an introduction to the basic processes that ensure the acquisition of space-borne imagery and provides an overview of the main satellite observation systems. It then describes visual and digital image analysis, highlights various interpretation techniques, and outlines their applications to science and management. The latter part of the book covers the integration of remote sensing with GIS for environmental analysis. Based on the first English version published in 2010, this latest edition has been written to reflect a global audience, and factors in international debates and legal issues surrounding EO, as well as future developments and trends. New in the Second Edition:
•	Includes additional illustrations now in full color
•	Uses sample images acquired from different ecosystems at different spatial resolutions to illustrate different interpretation techniques
•	Updates information on recent satellite missions (Landsat-8, Sentinel-2, hyperspectral and hyperspatial programs)
•	Covers near-ground missions (including UAV) and ground sensors (spectro-radiometers, cameras, LIDAR, etc.) to support EO analysis
•	Offers analysis of image spatial properties
•	Presents material on visual analysis, time series analysis, and data fusion
•	Provides examples of EO data that cover different environmental problems, with particular relevance to global observation
Fundamentals of Satellite Remote Sensing: An Environmental Approach, Second Edition details the tools that provide global, recurrent, and comprehensive views of the processes affecting the Earth and is a must-have for researchers, academics, students, and professionals involved in the field of environmental science."
"Urban remote sensing: monitoring, synthesis and modeling in the urban environment","Urban Remote Sensing
The second edition of Urban Remote Sensing is a state-of-the-art review of the latest progress in the subject. The text examines how evolving innovations in remote sensing allow to deliver the critical information on cities in a timely and cost-effective way to support various urban management activities and the scientific research on urban morphology, socio-environmental dynamics, and sustainability.

Chapters are written by leading scholars from a variety of disciplines including remote sensing, GIS, geography, urban planning, environmental science, and sustainability science, with case studies predominately drawn from North America and Europe.

A review of the essential and emerging research areas in urban remote sensing including sensors, techniques, and applications, especially some critical issues that are shifting the ­directions in urban remote sensing research.
Illustrated in full color throughout, including numerous relevant case studies and extensive discussions of important concepts and cutting-edge technologies to enable clearer understanding for non-technical audiences.
Urban Remote Sensing, Second Edition will be of particular interest to upper-division undergraduate and graduate students, researchers and professionals working in the fields of remote sensing, geospatial information, and urban & environmental planning."
Deep learning in environmental remote sensing: Achievements and challenges,"Various forms of machine learning (ML) methods have historically played a valuable role in environmental
remote sensing research. With an increasing amount of “big data” from earth observation and rapid advances in
ML, increasing opportunities for novel methods have emerged to aid in earth environmental monitoring. Over
the last decade, a typical and state-of-the-art ML framework named deep learning (DL), which is developed from
the traditional neural network (NN), has outperformed traditional models with considerable improvement in
performance. Substantial progress in developing a DL methodology for a variety of earth science applications has
been observed. Therefore, this review will concentrate on the use of the traditional NN and DL methods to
advance the environmental remote sensing process. First, the potential of DL in environmental remote sensing,
including land cover mapping, environmental parameter retrieval, data fusion and downscaling, and information
reconstruction and prediction, will be analyzed. A typical network structure will then be introduced. Afterward,
the applications of DL environmental monitoring in the atmosphere, vegetation, hydrology, air and land surface
temperature, evapotranspiration, solar radiation, and ocean color are specifically reviewed. Finally, challenges
and future perspectives will be comprehensively analyzed and discussed."
Remote sensing for agricultural applications: A meta-review,"Agriculture provides humanity with food, fibers, fuel, and raw materials that are paramount for human livelihood. Today, this role must be satisfied within a context of environmental sustainability and climate change, combined with an unprecedented and still-expanding human population size, while maintaining the viability of agricultural activities to ensure both subsistence and livelihoods. Remote sensing has the capacity to assist the adaptive evolution of agricultural practices in order to face this major challenge, by providing repetitive information on crop status throughout the season at different scales and for different actors. We start this review by making an overview of the current remote sensing techniques relevant for the agricultural context. We present the agronomical variables and plant traits that can be estimated by remote sensing, and we describe the empirical and deterministic approaches to retrieve them. A second part of this review illustrates recent research developments that permit to strengthen applicative capabilities in remote sensing according to specific requirements for different types of stakeholders. Such agricultural applications include crop breeding, agricultural land use monitoring, crop yield forecasting, as well as ecosystem services in relation to soil and water resources or biodiversity loss. Finally, we provide a synthesis of the emerging opportunities that should strengthen the role of remote sensing in providing operational, efficient and long-term services for agricultural applications."
Remote sensing of shallow waters–A 50 year retrospective and future directions,"Technical advancements have widened the limits of remote sensing in mapping shallow water benthic habitats and bathymetry over the last decades. On the other hand, the needs of shallow water remote sensing have pushed instrument development. In this manuscript we provide 50-year retrospective of the developments in the field in terms of both instrumentation and methods. We also show that spectral features characteristic of the main benthic groups in shallow water are consistent from the tropics to sub-arctic regions and from salty to freshwaters. The fundamental limiting factor in both benthic mapping and bathymetry is absorption of light by water molecules. However, spectral absorption by water molecules is the key to bathymetry derivation. Variable backscattering by particles and absorption by dissolved organic matter is a confounding factor for all objectives. The combination of using the spectral and textural characteristics of bottom features and our knowledge about these features have now resulted in the ability to map habitats over large coastal systems. This manuscript has shown that optically shallow water remote sensing has reached levels where the satellite derived bathymetry and habitat maps are accepted by different end users (including the International Maritime Organisation) and are routinely used in ecological studies, monitoring and management of coastal environments."
Survey on Land Use/Land Cover (LU/LC) change analysis in remote sensing and GIS environment: Techniques and Challenges,"The surface of the earth is rapidly changing every day due to certain natural reasons and other impacts by society. Over the last few decades, the hottest topics in the field of remote sensing and GIS (geographic information system) environments have evolved from observing the nature of the earth. Owing to the enlargement of several worldwide modifications related to the nature of the earth, land use/land cover (LU/LC) change is considered as the matter of utmost importance in the natural atmosphere, and it has also become an interesting area to be studied by the researchers. As there is a lack of review articles in the land use/land cover change analysis process, we presented a comprehensive review which may help the researchers to proceed further. This paper deals with the most frequent methods used by researchers on various processes like pre-processing, classification, and prediction of time series satellite images for analyzing the LU/LC changes using satellite images. The generic flow of the LU/LC change analysis process and the challenges faced during each process by the researchers are discussed. Varied resolutions of the environmental image captured by remote sensing satellites for analyzing the LU/LC changes are discussed. Various LU/LC classes depending on change in the earth’s surface are also studied and the constraint used in each application is stated. The importance of this review lies in the motivation for future researchers to work on the LU/LC change analysis problem effectively."
Transitioning from change detection to monitoring with remote sensing: A paradigm shift,"The use of time series analysis with moderate resolution satellite imagery is increasingly common, particularly since the advent of freely available Landsat data. Dense time series analysis is providing new information on the timing of landscape changes, as well as improving the quality and accuracy of information being derived from remote sensing. Perhaps most importantly, time series analysis is expanding the kinds of land surface change that can be monitored using remote sensing. In particular, more subtle changes in ecosystem health and condition and related to land use dynamics are being monitored. The result is a paradigm shift away from change detection, typically using two points in time, to monitoring, or an attempt to track change continuously in time. This trend holds many benefits, including the promise of near real-time monitoring. Anticipated future trends include more use of multiple sensors in monitoring activities, increased focus on the temporal accuracy of results, applications over larger areas and operational usage of time series analysis."
Remote sensing of night lights: A review and an outlook for the future,"Remote sensing of night light emissions in the visible band offers a unique opportunity to
38 directly observe human activity from space. This has allowed a host of applications
39 including mapping urban areas, estimating population and GDP, monitoring disasters and
40 conflicts. More recently, remotely sensed night lights data have found use in
41 understanding the environmental impacts of light emissions (light pollution), including
42 their impacts on human health. In this review, we outline the historical development of
43 night-time optical sensors up to the current state of the art sensors, highlight various
44 applications of night light data, discuss the special challenges associated with remote
45 sensing of night lights with a focus on the limitations of current sensors, and provide an
46 outlook for the future of remote sensing of night lights. While the paper mainly focuses on
47 space borne remote sensing, ground based sensing of night-time brightness for studies on
48 astronomical and ecological light pollution, as well as for calibration and validation of
49 space borne data, are also discussed. Although the development of night light sensors lags
50 behind day-time sensors, we demonstrate that the field is in a stage of rapid development.
51 The worldwide transition to LED lights poses a particular challenge for remote sensing of
52 night lights, and strongly highlights the need for a new generation of space borne night
53 lights instruments. This work shows that future sensors are needed to monitor temporal
54 changes during the night (for example from a geostationary platform or constellation of
55 satellites), and to better understand the angular patterns of light emission (roughly
56 analogous to the BRDF in daylight sensing). Perhaps most importantly, we make the case
57 that higher spatial resolution and multispectral sensors covering the range from blue to
58 NIR are needed to more effectively identify lighting technologies, map urban functions,
59 and monitor energy use."
Monitoring the urban environment quality in the city of Johannesburg using remote sensing data,"Quantification and analysis of urban greenness is important in evaluating the role of urban trees in carbon sequestration and regulating land surface temperature of an urban environment. Landsat 8 satellite data was used to evaluate the effects of urban heat island based on land surface temperature (LST) in the affluent suburb of Rosebank in the north and the previously marginalized township of Soweto south of Johannesburg. It was found that the LST of Soweto was 2.58 °C hotter than Rosebank, suggesting that high-density areas with less street trees and parks are hotter than low-density suburbs. The Pearson's correlation coefficient computed between the LST and the Normalized Difference Built-up Index (NDBI) or the Normalized Difference Vegetation Index (NDVI) for the two areas, Rosebank and Soweto showed a positive correlation of 0.92 and 0.98) and a negative correlation of −0.91 and −0.99 respectively. The correlation between the NDVI and NDBI also showed negative values of −0.90 and −0.85, respectively. Based on the global bench mark for safe solar UVI, the residents of Soweto are likely to be at risk of skin and eye damage due to prolonged exposure to ultraviolet radiation than the residents of Rosebank. Thus, this study has effectively computed and evaluated the land surface temperatures of the two study areas from Landsat 8 satellite data, an information which can help potential vegetation cover programs to improve existing disparity in urban greenness in the city of Johannesburg."
